Year,County,Region,Child Population,% of Children in Total Population,Total Population
2024,Morris,4-Tyler,2680,22,12186
2024,Motley,1-Lubbock,199,17,1148
2024,Nacogdoches,5-Beaumont,13161,20,64226
2024,Navarro,3-Arlington,11186,23,47879
2024,Newton,5-Beaumont,2591,19,13447
2024,Nolan,2-Abilene,4041,26,15831
2024,Nueces,11-Edinburg,100190,25,402604
2024,Ochiltree,1-Lubbock,3369,29,11813
2024,Oldham,1-Lubbock,544,24,2236
2024,Orange,5-Beaumont,19861,23,87629
2024,Palo Pinto,3-Arlington,6057,22,27651
2024,Panola,4-Tyler,5949,24,24817
2024,Parker,3-Arlington,33026,23,144207
2024,Parmer,1-Lubbock,2338,27,8783
2024,Pecos,9-Midland,4078,24,16764
2024,Polk,5-Beaumont,9749,19,50597
2024,Potter,1-Lubbock,29365,24,122793
2024,Presidio,10-El Paso,1239,23,5331
2024,Rains,4-Tyler,2269,20,11518
2024,Randall,1-Lubbock,35186,24,147200
2024,Reagan,9-Midland,1261,27,4632
2024,Real,8-San Antonio,744,22,3426
2024,Red River,4-Tyler,2580,21,12405
2024,Reeves,9-Midland,3653,22,16578
2024,Refugio,11-Edinburg,1796,24,7629
2024,Roberts,1-Lubbock,220,22,1003
2024,Robertson,7-Austin,3678,22,16977
2024,Rockwall,3-Arlington,25219,22,113802
2024,Runnels,2-Abilene,2623,23,11259
2024,Rusk,4-Tyler,11158,21,52527
2024,Sabine,5-Beaumont,1798,19,9569
2024,San Augustine,5-Beaumont,1650,20,8225
2024,San Jacinto,5-Beaumont,6712,23,29781
2024,San Patricio,11-Edinburg,18894,25,74186
2024,San Saba,7-Austin,1194,21,5810
2024,Schleicher,9-Midland,829,25,3359
2024,Scurry,2-Abilene,4731,25,19038
2024,Shackelford,2-Abilene,807,23,3437
2024,Shelby,5-Beaumont,6528,26,25389
2024,Sherman,1-Lubbock,852,25,3372
2024,Smith,4-Tyler,58488,24,244705
2024,Somervell,3-Arlington,2058,21,9695
2024,Starr,11-Edinburg,19942,30,65708
2024,Stephens,2-Abilene,2155,23,9560
2024,Sterling,9-Midland,257,20,1282
2024,Stonewall,2-Abilene,304,20,1530
2024,Sutton,9-Midland,1013,23,4466
2024,Swisher,1-Lubbock,1649,23,7257
2024,Tarrant,3-Arlington,556607,24,2285993
2024,Taylor,2-Abilene,34461,24,142360
2024,Terrell,9-Midland,204,19,1057
2024,Terry,1-Lubbock,3517,26,13280
2024,Throckmorton,2-Abilene,310,21,1493
2024,Titus,4-Tyler,8895,27,33010
2024,Tom Green,9-Midland,28989,22,129190
2024,Travis,7-Austin,298284,21,1393318
2024,Trinity,5-Beaumont,2564,18,13998
2024,Tyler,5-Beaumont,4301,20,21139
2024,Upshur,4-Tyler,9220,22,42648
2024,Upton,9-Midland,1072,25,4260
2024,Uvalde,8-San Antonio,7111,25,28917
2024,Val Verde,8-San Antonio,13181,28,47901
2024,Van Zandt,4-Tyler,12817,23,56626
2024,Victoria,8-San Antonio,23792,23,102349
2024,Walker,6-Houston,14210,18,77007
2024,Waller,6-Houston,12014,22,53842
2024,Ward,9-Midland,4450,29,15226
2024,Washington,7-Austin,7756,22,35650
2024,Webb,11-Edinburg,80798,28,285852
2024,Wharton,6-Houston,10382,25,42143
2024,Wheeler,1-Lubbock,1486,25,5901
2024,Wichita,2-Abilene,29105,22,133281
2024,Wilbarger,2-Abilene,2827,22,12772
2024,Willacy,11-Edinburg,5299,24,22020
2024,Williamson,7-Austin,160122,24,674661
2024,Wilson,8-San Antonio,11982,21,55845
2024,Winkler,9-Midland,3242,31,10435
2024,Wise,3-Arlington,15146,22,68481
2024,Wood,4-Tyler,9384,20,46425
2024,Yoakum,1-Lubbock,3126,31,9944
2024,Young,2-Abilene,4529,24,18814
2024,Zapata,11-Edinburg,4500,31,14424
2024,Zavala,8-San Antonio,3986,31,13068
2023,Anderson,4-Tyler,10553,18,58031
2023,Andrews,9-Midland,7853,31,25522
